店名,電話,住所,ジャンル
サツドラ ニセコ・ひらふ店,北海道虻田郡倶知安町字山田１８８９,0136-21-7551,ドラッグストア
サツドラニセコひらふ店,北海道虻田郡倶知安町ニセコひらふ1条3丁目6-24,0136-21-7551,ドラッグストア
アインズ&トルペF BEAUTY北海道ボールパーク店,北海道北広島市Fビレッジ1,011-558-7059,ドラッグストア
ツルハドラッグ北斗中野通店,北海道北斗市中野通199-1,0138-74-2680,ドラッグストア
サツドラ 函館・川汲店,北海道函館市川汲町１６１８１,0138-25-2100,ドラッグストア
サツドラ函館川汲店,北海道函館市川汲町1618-1,0138-25-2100,ドラッグストア
ツルハドラッグ 春光5条店,北海道旭川市春光５条４丁目８１２,0166-46-8268,ドラッグストア
ツルハドラッグ春光5条店,北海道旭川市春光5条4丁目8-12,0166-46-8268,ドラッグストア
ツルハドラッグ東神楽店,北海道上川郡東神楽町ひじり野北1条3丁目1-5,0166-83-6013,ドラッグストア
アスクドラッグ旭神店,北海道旭川市旭神３条４丁目１１,0166-66-6040,ドラッグストア
くすりの健康堂 イオン旭川永山店,北海道旭川市永山３条１２丁目,0166-47-3018,ドラッグストア
ツルハドラッグ 旭川南6条店,北海道旭川市南６条通１８丁目２１８２９０,0166-37-8268,ドラッグストア
ツルハドラッグ旭川南6条店,北海道旭川市南6条通18丁目2182-90,0166-37-8268,ドラッグストア
ツルハドラッグ旭川4条西店,北海道旭川市4条通1丁目2241-6,0166-73-3795,ドラッグストア
ツルハドラッグ旭川緑が丘店,北海道旭川市緑が丘東3条1丁目3-3,0166-60-9268,ドラッグストア
まむしの薬屋本店,北海道旭川市７条通８丁目右１,0166-23-3446,ドラッグストア
旭川まむしの薬屋本店,北海道旭川市７条通８丁目右１,0166-23-3446,ドラッグストア
ツルハドラッグ西桔梗店,北海道函館市西桔梗町246-121,0138-48-0268,ドラッグストア
ツルハドラッグ西桔梗店,北海道函館市西桔梗町２４６１２１,0138-48-0268,ドラッグストア
ツルハドラッグ東久根別店,北海道北斗市久根別1丁目1-10,0138-74-4368,ドラッグストア
ツルハドラッグ 東久根別店,北海道北斗市久根別１丁目１１０,0138-74-4368,ドラッグストア
ツルハドラッグ旭川緑町店,北海道旭川市緑町20丁目2752-7,0166-74-5718,ドラッグストア
ツルハドラッグ 旭川緑町店,北海道旭川市緑町２０丁目２７５２７,0166-74-5718,ドラッグストア
サツドラ富岡中央店,北海道函館市富岡町3丁目32-1,0138-45-1777,ドラッグストア
サツドラ 富岡中央店,北海道函館市富岡町３丁目３２１,0138-45-1777,ドラッグストア
ツルハドラッグ 函館石川店,北海道函館市石川町３１５９,0138-34-2268,ドラッグストア
ツルハドラッグ函館石川店,北海道函館市石川町315-9,0138-34-2268,ドラッグストア
ツルハドラッグ函館柳町店,北海道函館市柳町13-1,0138-33-5565,ドラッグストア
ツルハドラッグ永山南店,北海道旭川市永山8条4丁目98-2,0166-40-1133,ドラッグストア
宇美薬店,北海道函館市字館町１０,0138-82-2024,ドラッグストア
有限会社ヤマダ薬房,北海道旭川市６条通１７丁目８１３,0166-23-6344,ドラッグストア
ツルハドラッグ旭川神楽岡店,北海道旭川市神楽岡5条6丁目4-20,0166-60-7268,ドラッグストア
ツルハドラッグ旭川神楽岡店,北海道旭川市神楽岡５条６丁目４２０,0166-60-7268,ドラッグストア
サンドラッグ美原二丁目店,北海道函館市美原2丁目17-1,0138-34-7606,ドラッグストア
