店名,電話,住所,ジャンル
スーパードラッグアサヒさくら野弘前店,青森県弘前市城東北3丁目10-1,0172-88-5537,ドラッグストア
ハッピー・ドラッグ弘前城東中央店,青森県弘前市城東中央3丁目3-1,0172-40-2905,ドラッグストア
ケードラッグ101,青森県弘前市大字樋の口２丁目９６,0172-35-7715,ドラッグストア
ケードラッグ101,青森県弘前市樋の口2-9-6,0172-35-7715,ドラッグストア
薬王堂弘前富田町店,青森県弘前市大字富田町162,0172-55-0371,ドラッグストア
薬王堂 弘前富田町店,青森県弘前市大字富田町１６２,0172-55-0371,ドラッグストア
ツルハドラッグ 青森本町店,青森県青森市本町４丁目９４,017-762-0558,ドラッグストア
ツルハドラッグ青森本町店,青森県青森市本町4丁目9-5,017-762-0558,ドラッグストア
ハッピー・ドラッグ弘前土手町店,青森県弘前市土手町89-1,0172-55-7765,ドラッグストア
ハッピー・ドラッグ 弘前土手町店,青森県弘前市大字土手町８９１,0172-55-7765,ドラッグストア
ツルハドラッグ 弘前駅前店,青森県弘前市大字駅前２丁目６１,0172-39-1268,ドラッグストア
ツルハドラッグ弘前駅前店,青森県弘前市大字駅前2丁目6-2,0172-39-1268,ドラッグストア
薬王堂 弘前相馬店,青森県弘前市大字湯口字一ノ細川５１１,0172-55-6757,ドラッグストア
薬王堂弘前相馬店,青森県弘前市湯口字一ノ細川51-1,0172-55-6757,ドラッグストア
ハッピー・ドラッグ弘前浜の町店,青森県弘前市大字浜の町西1丁目5-21,0172-26-6339,ドラッグストア
ハッピー・ドラッグ 浜の町店,青森県弘前市大字浜の町西１丁目５２１,0172-26-6339,ドラッグストア
スーパードラッグアサヒ南大町店,青森県弘前市取上1丁目1-1,0172-31-0860,ドラッグストア
スーパードラッグ・アサヒ 南大町店,青森県弘前市大字取上１丁目１１,0172-31-0860,ドラッグストア
調剤薬局ツルハドラッグ弘前豊原店,青森県弘前市大字豊原1丁目3-4,0172-31-1268,ドラッグストア
ツルハドラッグ 弘前豊原店,青森県弘前市大字豊原１丁目３４,0172-31-1268,ドラッグストア
ツルハドラッグ弘前堅田店,青森県弘前市大字堅田2丁目2-22,0172-39-1344,ドラッグストア
ツルハドラッグ 弘前堅田店,青森県弘前市大字堅田２丁目２２２,0172-39-1344,ドラッグストア
マツモトキヨシ弘前駅ビルアプリーズ店,青森県弘前市表町2-11,0172-32-3140,ドラッグストア
ハッピー・ドラッグ 桔梗野店,青森県弘前市大字桔梗野１丁目２２,0172-55-0877,ドラッグストア
ハッピー・ドラッグ弘前桔梗野店,青森県弘前市大字桔梗野1丁目2-2,0172-55-0877,ドラッグストア
薬王堂弘前若葉店,青森県弘前市大字清水１丁目２２,0172-32-1366,ドラッグストア
薬王堂弘前若葉店,青森県弘前市大字清水1丁目2-2,0172-32-1366,ドラッグストア
メガ弘前駅前店,青森県弘前市大字駅前2丁目8-16,0172-31-2505,ドラッグストア
ツルハドラッグ 安原店,青森県弘前市大字泉野１丁目４５,0172-89-1231,ドラッグストア
ツルハドラッグ安原店,青森県弘前市泉野1丁目4-5,0172-89-1231,ドラッグストア
ツルハドラッグ弘前岩木店,青森県弘前市大字一町田字村元714,0172-82-2340,ドラッグストア
ツルハドラッグ 弘前岩木店,青森県弘前市大字一町田字村元７１２２,0172-82-2340,ドラッグストア
ツルハドラッグ弘前境関店,青森県弘前市大字境関1丁目2-2,0172-88-5865,ドラッグストア
ツルハドラッグ 弘前境関店,青森県弘前市大字境関１丁目２２,0172-88-5865,ドラッグストア
ハッピー・ドラッグ弘前大原店,青森県弘前市大原2丁目5-26,0172-55-5385,ドラッグストア
マツモトキヨシ弘前堅田店,青森県弘前市大字宮川1丁目2-13,0172-55-0720,ドラッグストア
マツモトキヨシ 弘前堅田店,青森県弘前市大字宮川１丁目２１３,0172-55-0720,ドラッグストア
ツルハドラッグ 弘前石渡店,青森県弘前市大字石渡４丁目１３４,0172-88-7418,ドラッグストア
ツルハドラッグ弘前石渡店,青森県弘前市石渡4丁目13-4,0172-88-7418,ドラッグストア
菊池薬局本店,青森県弘前市土手町18,0172-32-7556,ドラッグストア
薬王堂弘前早稲田店,青森県弘前市早稲田1丁目4-5,0172-28-2887,ドラッグストア
薬王堂弘前早稲田店,青森県弘前市大字早稲田１丁目４５,0172-28-2887,ドラッグストア
ツルハドラッグ弘前アルカディア店,青森県弘前市扇町3丁目1-2,0172-29-1281,ドラッグストア
ツルハドラッグ 弘前アルカディア店,青森県弘前市大字扇町３丁目１２,0172-29-1281,ドラッグストア
ツルハドラッグ 弘前外崎店,青森県弘前市大字外崎３丁目５１,0172-29-2688,ドラッグストア
ツルハドラッグ弘前外崎店,青森県弘前市大字外崎3丁目5-1,0172-29-2688,ドラッグストア
マツモトキヨシ青森駅ビルラビナ店,青森県青森市柳川1-2-3,017-775-5272,ドラッグストア
ハッピー・ドラッグ弘前城東店,青森県弘前市田園3丁目5-12,0172-26-6575,ドラッグストア
くすりの回生堂,青森県青森市長島４丁目１２１,017-776-7136,ドラッグストア
森薬店,青森県青森市長島４丁目１２１,017-776-7136,ドラッグストア
メガ富田店,青森県弘前市大字富田3丁目7-8,0172-88-7750,ドラッグストア
メガ神田店,青森県弘前市大字神田３丁目２８,0172-31-0201,ドラッグストア
薬王堂弘前安原店,青森県弘前市大字泉野５丁目５１,0172-87-2861,ドラッグストア
薬王堂弘前安原店,青森県弘前市泉野5丁目5-1,0172-87-2861,ドラッグストア
薬王堂弘前石渡店,青森県弘前市石渡2丁目5-4,0172-55-7315,ドラッグストア
ハッピー・ドラッグ弘前堅田店,青森県弘前市青山1丁目11-2,0172-55-8266,ドラッグストア
ツルハドラッグ 弘前浜の町店,青森県弘前市大字浜の町西２丁目２７,0172-39-4033,ドラッグストア
ツルハドラッグ弘前浜の町店,青森県弘前市浜の町西2丁目2-7,0172-39-4033,ドラッグストア
サンドラッグ弘前樹木店,青森県弘前市樹木5丁目9-1,0172-80-9903,ドラッグストア
有限会社じんま薬店,青森県弘前市大字品川町４５,0172-32-4937,ドラッグストア
みんゆう薬局弘前駅前店,青森県弘前市駅前町11-2,0172-88-7177,ドラッグストア
ハッピー・ドラッグ青森ドラッグ.O店,青森県青森市本町1丁目6-2,017-721-1132,ドラッグストア
ハッピー・ドラッグ ドラック・オー,青森県青森市本町１丁目６２,017-721-1132,ドラッグストア
ツルハドラッグ 弘前樹木店,青森県弘前市大字樹木４丁目３１,0172-31-1321,ドラッグストア
ツルハドラッグ弘前樹木店,青森県弘前市樹木4丁目3-1,0172-31-1321,ドラッグストア
ツルハドラッグ十八日町店,青森県八戸市十八日町27,0178-22-7231,ドラッグストア
メガ城東北店,青森県弘前市大字城東北4丁目4-10,0172-27-2700,ドラッグストア
ハッピー・ドラッグ 岩木店,青森県弘前市大字一町田字村元５１７２,0172-55-6158,ドラッグストア
ハッピー・ドラッグ弘前岩木店,青森県弘前市一町田字村元712-1,0172-55-6158,ドラッグストア
ツルハドラッグ弘前神田店,青森県弘前市大字神田5丁目6-2,0172-31-0268,ドラッグストア
