店名,電話,住所,アクセス,営業時間,定休日,お店のホームページ,支払い方法
栗丘ライディングパーク,北海道岩見沢市栗沢町栗丘,0126-45-3361,スポーツ施設
妹背牛町カーリングホール,北海道雨竜郡妹背牛町字妹背牛１区１６町内,0164-32-9511,スポーツ施設
栗山クレー射撃場,北海道夕張郡栗山町字継立,0123-76-3840,スポーツ施設
帯広総合ライフル射撃場,北海道河西郡芽室町平和西１４線２２,0155-62-2451,スポーツ施設
積丹町Ｂ＆Ｇ海洋センター　ロビー,北海道積丹郡積丹町大字美国町字大沢３２９－２,0135-44-3570,スポーツ施設
高砂バッティングセンター,北海道虻田郡倶知安町字高砂２４１－４,0136-23-2895,スポーツ施設
積丹町Ｂ＆Ｇ海洋センター,北海道積丹郡積丹町大字美国町字大沢３２９－２,0135-44-3260,スポーツ施設
ポロシリ高原パークゴルフ場,北海道帯広市八千代町西２線,0155-60-2400,スポーツ施設
十勝アウトドアメイツ,北海道上川郡新得町字屈足基線２４０,0156-65-2411,スポーツ施設
中富良野町総合スポーツセンター,北海道空知郡中富良野町字中富良野東１線北１１号,0167-44-2323,スポーツ施設
スポーツクラブジョイフィット　スパ旭川,北海道旭川市東１条３丁目４－１６,0166-26-2600,スポーツ施設
東神楽町総合体育館・地域世代交流センターこれっと,北海道上川郡東神楽町南１条西１丁目３－２,0166-83-5423,スポーツ施設
グリーンヒルスポーツクラブ,北海道旭川市緑が丘東１条２丁目１－１１,0166-65-5566,スポーツ施設
タキ　ボクシングジム,北海道旭川市東４条５丁目２－４,0166-27-4555,スポーツ施設
イチイバッテングセンター,北海道函館市田家町１６－２１,0138-45-3094,スポーツ施設
ラウンドワンスタジアム旭川店,北海道旭川市永山３条１丁目４番７号,0166-49-5071,スポーツ施設
ラウンドワンスタジアム函館店,北海道函館市西桔梗町848番地11,0138-49-8401,スポーツ施設
当麻町役場　フィールドボール場クラブハウス,北海道上川郡当麻町６条西４丁目２－８,0166-84-2587,スポーツ施設
バッティングセンター,北海道紋別郡遠軽町生田原水穂,0158-46-2175,スポーツ施設
茂岩山グリーンハウス,北海道中川郡豊頃町茂岩４９－２７,015-574-2882,スポーツ施設
赤平総合体育館,北海道赤平市大町４丁目５－３,0125-33-7750,スポーツ施設
ＪＲＡスポーツプラザ,北海道函館市深堀町２２,0138-31-6670,スポーツ施設
函館アマチュアボクシング協会ジム,北海道函館市柏木町３－３９,0138-56-0254,スポーツ施設
オタモイバッティングセンター,北海道小樽市オタモイ１丁目１１－３１,0134-26-2750,スポーツ施設
白老町役場体育施設　北吉原はまなすスポーツセンター,北海道白老郡白老町字北吉原８６－１,0144-83-2438,スポーツ施設
LEGIT SKATE PARK(レジットスケートパーク),北海道江別市野幌松並町26-1,011-398-7758,スポーツ施設
釧路市スポーツ振興財団,北海道釧路市柳町１－１,0154-31-1230,スポーツ施設
名寄市北体育館,北海道名寄市東１条北６丁目,01654-3-9109,スポーツ施設
えるぴあウエルネスセンター,北海道北見市幸町３丁目１－２９,0157-23-1862,スポーツ施設
苫小牧バッティングスタジアム,北海道苫小牧市木場町１丁目６－１,0144-36-3600,スポーツ施設
フラッシュくしろボクシングジム,北海道釧路市古川町２９－１０,0154-32-1002,スポーツ施設
中標津町運動公園,北海道標津郡中標津町緑ヶ丘６－３,0153-72-8003,スポーツ施設
大進スケートセンター,北海道釧路市貝塚３丁目７－２２,0154-42-2743,スポーツ施設
はまなすクラブ（ＮＰＯ法人）,北海道苫小牧市はまなす町２丁目３,0144-68-1165,スポーツ施設
たきかわスカイパーク,北海道滝川市中島町１３９－４,0125-24-3255,スポーツ施設
岡志別の森運動公園,北海道登別市千歳町９７－１,0143-88-2525,スポーツ施設
静内川右岸パークゴルフ場・スケートリンク,北海道日高郡新ひだか町静内緑町８丁目,0146-42-5913,スポーツ施設
西帯バッティングセンター,北海道帯広市西１８条南３丁目２７－１６,0155-33-8622,スポーツ施設
