店名,電話,住所,アクセス,営業時間,定休日,お店のホームページ,支払い方法
会席・どうむ,山形県東田川郡庄内町余目字上朝丸７８－２,0234-42-2253,懐石料理
古里野,山形県天童市大字下荻野戸２７２５,023-651-2828,懐石料理
やまほし,山形県東置賜郡高畠町大字一本柳山崎３１１３－３,0238-57-3943,懐石料理
こんにゃく番所,山形県上山市皆沢字諏訪前６０８－１,023-674-2351,懐石料理
豊奈味,山形県上山市新湯２－１８,023-673-4720,懐石料理
料亭 亀松閣,山形県山形市薬師町2-8-81,023-631-3644,懐石料理
会席なか川,山形県天童市一日町２丁目５－３,023-653-2444,懐石料理
日本料理淀川,山形県山形市七日町５丁目１０－３５,023-641-6390,懐石料理
淀川,山形県山形市七日町５丁目１０－３５,023-641-6390,懐石料理
まる梅,山形県西村山郡河北町谷地字月山堂４０２－１,0237-71-0570,懐石料理
大多喜亭,山形県鶴岡市三光町２－３６,0235-22-0637,懐石料理
有限会社亀松閣,山形県山形市薬師町２丁目８－８１,023-631-3644,懐石料理
有限会社亀松閣,山形県山形市薬師町２丁目８－８１,023-641-8778,懐石料理
高峰,山形県山形市七日町２丁目１－２５,023-631-8725,懐石料理
味奈味,山形県新庄市若葉町１３－４７,0233-22-6411,懐石料理
丸喜多,山形県山形市七日町３丁目３－３２,023-632-7505,懐石料理
遊季,山形県寒河江市南町２丁目３－５,0237-78-3370,懐石料理
旬味うけ月,山形県山形市十日町２丁目２－５,023-623-0416,懐石料理
日本料理・村上,山形県鶴岡市錦町２－１０,0235-64-8186,懐石料理
おくやま,山形県新庄市若葉町１４－６,0233-22-6580,懐石料理
米沢牛福昌,山形県長井市九野本２１３９－５,0238-88-5525,懐石料理
福昌,山形県長井市九野本２１３９－５,0238-88-5525,懐石料理
いいざか,山形県酒田市あきほ町６６３－６,0234-24-5123,懐石料理
魚亭いいざか,山形県酒田市あきほ町６６３－６,0234-24-5123,懐石料理
志ん柳,山形県米沢市中央１丁目１４－４,0238-21-1234,懐石料理
旬味割烹 飯豊,山形県山形市香澄町3-5-20,023-622-0939,割ぽう
味処京佳,山形県米沢市万世町金谷４６４－７,0238-26-9077,懐石料理
京佳,山形県米沢市万世町金谷４６４－７,0238-26-9077,懐石料理
米沢牛・山懐料理 吉亭,山形県米沢市門東町1-3-46,0238-23-1128,しゃぶしゃぶ
東京第一ホテル鶴岡　郷味楽,山形県鶴岡市錦町２－１０,0235-24-7611,懐石料理
しょうげつ（嘯月）,山形県山形市十日町２丁目２－５,023-623-0415,懐石料理
香林塔,山形県東田川郡庄内町余目字上朝丸７８－２,0234-42-2253,ビジネスホテル
味処ふる山,山形県米沢市金池５丁目６－１７,0238-23-0075,懐石料理
喜らく,山形県天童市老野森１丁目１６－６,023-654-3635,懐石料理
旬菜よしの,山形県新庄市若葉町１４－６,0233-22-6580,懐石料理
