店名,電話,住所,アクセス,営業時間,定休日,お店のホームページ,支払い方法
安来運動公園陸上競技場,島根県安来市佐久保町,0854-23-0424,スポーツ施設
島根体育館,島根県松江市島根町加賀１４５５,0852-85-3252,スポーツ施設
玉湯体育館,島根県松江市玉湯町湯町７１４,0852-62-0442,スポーツ施設
美保関体育館,島根県松江市美保関町下宇部尾５５６－１,0852-72-3521,スポーツ施設
隠岐の島町・海洋スポーツセンター,島根県隠岐郡隠岐の島町津戸１５３７,08512-6-2050,スポーツ施設
島根町役場　教育委員会,島根県松江市島根町加賀１４５５,0852-85-3252,スポーツ施設
松江市　東出雲体育館,島根県松江市東出雲町揖屋１１３９－２,0852-52-5771,スポーツ施設
雲南市役所　体育館斐伊体育館,島根県雲南市木次町里方９１７,0854-42-1156,スポーツ施設
スリーロードボクシングジム,島根県松江市上乃木４丁目１３－１,0852-33-7436,スポーツ施設
ホームランドーム松江店,島根県松江市嫁島町１４－６,0852-25-8109,スポーツ施設
ホームランドーム松江店,島根県松江市嫁島町14-6,0852-25-8109,スポーツ施設
古志スポーツセンター,島根県出雲市古志町１９５５,0853-20-0977,スポーツ施設
平田バッティングセンター,島根県出雲市美談町４３５－２,0853-62-3638,スポーツ施設
岸卓球塾,島根県益田市久城町４２４－２,0856-23-5990,スポーツ施設
島根県立はつらつ体育館,島根県松江市上乃木７丁目１－２７,0852-21-3253,スポーツ施設
松江バッティングセンター,島根県松江市西嫁島１丁目５,0852-24-8987,スポーツ施設
井岡ボクシングジムｉｎ島根江津,島根県江津市和木町６０６,0855-52-2055,スポーツ施設
安来運動公園管理事務所,島根県安来市吉岡町４５０,0854-22-5911,スポーツ施設
島根大東クレー射撃場,島根県雲南市大東町山王寺１６９５,0854-43-4077,スポーツ施設
グランドゴルフホープたかつの,島根県江津市島の星町２８９－５６,0855-52-4419,スポーツ施設
三刀屋バッティングセンター,島根県雲南市三刀屋町三刀屋１４,0854-45-3003,スポーツ施設
バッティングセンター,島根県雲南市三刀屋町三刀屋１４,0854-45-3003,スポーツ施設
町民柿木体育館,島根県鹿足郡吉賀町柿木村柿木６８２－１,0856-79-2555,スポーツ施設
益田市役所　市民体育館,島根県益田市乙吉町イ８７４,0856-23-6283,スポーツ施設
安来市役所　安来運動公園,島根県安来市吉岡町４５０,0854-22-5911,スポーツ施設
ダゲキング,島根県大田市大田町大田イ４４３－８,0854-83-7123,スポーツ施設
株式会社サンエイトグリーンヒルさとう,島根県仁多郡奥出雲町高尾１７８６－８,0854-54-2088,スポーツ施設
吉賀町　蔵木グラウンドゴルフ場,島根県鹿足郡吉賀町蔵木６０－２,0856-77-0633,スポーツ施設
バッティングセンター　ジャストミート,島根県出雲市平野町５４３,0853-21-5848,スポーツ施設
ジャストミート,島根県出雲市平野町５４３,0853-21-5848,スポーツ施設
ジャストミート,島根県出雲市平野町５４３,0853-21-5848,スポーツ施設
出雲屋内里家球場,島根県出雲市里方町４６３,0853-22-7157,スポーツ施設
浜山バッティングセンター,島根県出雲市大社町北荒木１５００,0853-53-3886,スポーツ施設
安来運動公園野球場,島根県安来市吉岡町４５７－１,0854-22-2254,野球場
さくらドーム,島根県益田市美都町朝倉１６７－１,0856-52-2770,テニスコート
島根県立水泳プール,島根県松江市上乃木１０丁目４－２,0852-26-4583,スポーツ施設
島根県立体育館,島根県浜田市黒川町３７３５,0855-23-1201,都道府県機関
県立体育館,島根県浜田市黒川町３７３５,0855-23-1201,都道府県機関
サンマリン浜田,島根県浜田市原井町３０５０－９,0855-22-0082,研修所
宍道体育センター,島根県松江市宍道町佐々布２０４－４,0852-66-8686,スポーツクラブ
メテオプラザ,島根県松江市美保関町七類３２４６－１,0120-739393,スポーツ施設
益田市役所　ひだまりパークみと,島根県益田市美都町笹倉３４１,0856-52-7056,テニスコート
美郷町役場　邑智Ｂ＆Ｇ海洋センター,島根県邑智郡美郷町亀村４２,0855-75-1877,スイミングスクール
島根県立　武道館弓道場,島根県松江市学園１丁目５－５,0852-22-3658,スポーツ教室
