店名,電話,住所,アクセス,営業時間,定休日,お店のホームページ,支払い方法
クスリ仁科大曲店,秋田県大仙市大曲中通町４２,0187-62-0247,ドラッグストア
ハッピー・ドラッグ　鷹巣店,秋田県北秋田市米代町３９－２,0186-69-7766,ドラッグストア
永田薬店,秋田県湯沢市稲庭町字三嶋４４－２,0183-43-2229,ドラッグストア
株式会社薬王堂　横手平鹿店,秋田県横手市平鹿町浅舞字福田２２０－１,0182-24-3999,ドラッグストア
株式会社ツルハ　ツルハドラッグ　刈和野店,秋田県大仙市刈和野字沼田１２－１,0187-87-3588,ドラッグストア
株式会社薬王堂　湯沢倉内店,秋田県湯沢市倉内字川原田１７－２,0183-56-6812,ドラッグストア
ベストドラッグ井川店,秋田県南秋田郡井川町北川尻字新坂９０－１,018-874-2201,ドラッグストア
株式会社薬王堂　秋田六郷店,秋田県仙北郡美郷町野中字中明子１０６,0187-84-2010,ドラッグストア
くすりの高堂谷,秋田県大館市比内町扇田字南扇田２４－１,0186-55-0023,ドラッグストア
株式会社薬王堂由利　本荘・大内店,秋田県由利本荘市岩谷町字西越９４－３,0184-65-3707,ドラッグストア
株式会社薬王堂　十文字店,秋田県横手市十文字町佐賀会字下沖田６１－５,0182-42-5071,ドラッグストア
芳賀薬店,秋田県仙北市西木町桧木内字松葉６５－２,0187-48-2909,ドラッグストア
高橋薬店,秋田県仙北郡美郷町土崎字上野乙１－２２９,0187-85-3890,ドラッグストア
株式会社薬王堂　由利本荘・西目店,秋田県由利本荘市西目町沼田字新道下２－５３８,0184-74-6297,ドラッグストア
木内薬店,秋田県由利本荘市岩城内道川字烏森１５０－２３,0184-73-2021,ドラッグストア
有限会社ヘルスドラッグ須藤,秋田県にかほ市平沢字清水５０－１０,0184-35-3809,ドラッグストア
スーパードラッグアサヒ角館店,秋田県仙北市角館町下菅沢２２－１,0187-55-5000,ドラッグストア
株式会社薬王堂　由利本荘矢島店,秋田県由利本荘市矢島町城内字築舘１５９－１,0184-74-3701,ドラッグストア
ツルハドラッグ　鷹巣店,秋田県北秋田市栄字中綱２,0186-60-0028,ドラッグストア
